Unnamed: 0,Title,Year,Run Time,Rating,Votes,MetaScore,Gross,Genre,Certification,Director,Stars,Description,Storyline,Plot Keywords
2588,Driving Miss Daisy,1989,99,7.3,115224,81,106590000,"['Comedy', ' Drama', ' Romance']",PG,['Bruce Beresford'],"['Morgan Freeman', 'Jessica Tandy', 'Dan Aykroyd', 'Patti LuPone']","['An', 'old', 'Jewish', 'woman', 'and', 'her', 'African-American', 'chauffeur', 'in', 'the', 'American', 'South', 'have', 'a', 'relationship', 'that', 'grows', 'and', 'improves', 'over', 'the', 'years.']",,"widow, 1950s, old age, gardening, police, funeral, cemetery, racism, chauffeur, jewish, african american, friendship, talking while driving, unlikely friendship, southern belle, civil rights, mahjong, synagogue, segregation, mother son relationship, interracial friendship, illiteracy, elevator, car accident, atlanta georgia, anti semitism, urination, white savior, woman wears eyeglasses, bossiness, screenplay adapted by author, piggly wiggly supermarket, phone booth, actor recreates his stage role, female protagonist, reference to antonin dvorak's rusalka, reference to antonin dvorak, housekeeping, church, master servant relationship, three word title, self discovery, racial issues, race relations, matron, family tragedy, cross cultural relations, affection, retiree, hailstorm"
2589,Rocky II,1979,119,7.3,225398,61,,"['Drama', ' Sport']",PG,['Sylvester Stallone'],"['Sylvester Stallone', 'Talia Shire', 'Burt Young', 'Carl Weathers']","['Rocky', 'struggles', 'in', 'family', 'life', 'after', 'his', 'bout', 'with', 'Apollo', 'Creed,', 'while', 'the', 'embarrassed', 'champ', 'insistently', 'goads', 'him', 'to', 'accept', 'a', 'challenge', 'for', 'a', 'rematch.']",,"boxing, fist, boxer, sweaty man, muscular, sweaty body, sweating, trainer, muscleman, chasing an animal, costume, book, poem, sportsman, talking to an animal, second part, sequel, watching tv, male protagonist, city, urban setting, sequel to best picture winner, arena, blockbuster, famous score, cult film, two word title, roman numbered sequel, roman numeral in title, numbered sequel, writer director, opening action scene, baby, woman in a coma, caveman costume, man slaps a man, hero, pregnancy, slow motion scene, slow motion boxing scene, baby boy, training montage, performer name in title, punch, birth of son, southpaw, directed by star, written by director, character says i love you, ends with freeze frame"
2590,Coach Carter,2005,136,7.3,165658,57,67260000,"['Biography', ' Drama', ' Sport']",PG-13,['Thomas Carter'],"['Samuel L. Jackson', 'Rick Gonzalez', ""Robert Ri'chard"", 'Rob Brown']","['Controversy', 'surrounds', 'high', 'school', 'basketball', 'coach', 'Ken', 'Carter', 'after', 'he', 'benches', 'his', 'entire', 'team', 'for', 'breaking', 'their', 'academic', 'contract', 'with', 'him.']",,"underage drinking, teenager, single mother, gang violence, drug dealing, abortion, based on true story, premarital sex, character name as title, surname in title, two word title, based on real person, values, red panties, scantily clad female, female removes her clothes, purple panties, white panties, panties, hood, tubi tv, basketball sport, underdog sport, teen sport, basketball movie, contract, high school, coach, basketball, basketball coach, high school basketball, fight, death of brother, motivational, underdog, interview, basketball team, death, suburb, girl wears panties, sports team, winning, what happened to epilogue, vandalism, unwed pregnancy, television reporter, teen pregnancy, teenage boy, swimming pool, student athlete"
2591,Youth,2015,124,7.3,81681,64,2700000,"['Comedy', ' Drama', ' Music']",R,['Paolo Sorrentino'],"['Michael Caine', 'Harvey Keitel', 'Rachel Weisz', 'Jane Fonda']","['A', 'retired', 'orchestra', 'conductor', 'is', 'on', 'vacation', 'with', 'his', 'daughter', 'and', 'his', 'film', 'director', 'best', 'friend', 'in', 'the', 'Alps', 'when', 'he', 'receives', 'an', 'invitation', 'from', 'Queen', 'Elizabeth', 'II', 'to', 'perform', 'for', 'Prince', ""Philip's"", 'birthday.']",,"spa, switzerland, hotel, orchestra, composer, father daughter relationship, symphony, sex scene, gay character, homosexual, rock climbing, people watching, practicing violin, feeling old, spa resort, englishman abroad, actress, mountaineer, water, sauna, death, soprano, screenwriter, dream, football player, venice italy, female nudity, prostitute, written by director, female frontal nudity, suicide, female pubic hair, outdoor sex, reference to prince philip, hitler impersonator, 2010s, swiss cuckoo clock, memory, bbc concert orchestra, woods, aging, scriptwriting, father son relationship, cow bell, nightmare, cattle, candy wrapper, swimming pool, pop singer, concert"
2592,The Negotiator,1998,140,7.3,150707,62,44480000,"['Action', ' Crime', ' Drama']",R,['F. Gary Gray'],"['Samuel L. Jackson', 'Kevin Spacey', 'David Morse', 'Ron Rifkin']","['In', 'a', 'desperate', 'attempt', 'to', 'prove', 'his', 'innocence,', 'a', 'skilled', 'police', 'negotiator', 'accused', 'of', 'corruption', 'and', 'murder', 'takes', 'hostages', 'in', 'a', 'government', 'office', 'to', 'gain', 'the', 'time', 'he', 'needs', 'to', 'find', 'the', 'truth.']",,"police conspiracy, opening action scene, police shootout, last film role for actor, fbi federal bureau of investigation, perseverance, demanding an explanation, searching for the truth, the truth, wrongful accusation, dark comedy, warner bros., guilty pleasure, negotiator, police, hostage, murder, innocence, conspiracy, corruption, pension, hostage negotiator, chicago police, pager, desperation, proving innocence, wiretapping, deception, gunfight, embezzlement, police station, battle of wits, media coverage, news report, tent, rain, wrongful arrest, false accusation, slow motion scene, presumed dead, police funeral, police officer killed, fbi agent, 1990s, husband wife relationship, shotgun, informant, fear, revelation, dog"
2593,The Guernsey Literary and Potato Peel Pie Society,2018,124,7.3,50537,65,,"['Drama', ' Romance', ' War']",TV-14,['Mike Newell'],"['Jessica Brown Findlay', 'Tom Courtenay', 'Michiel Huisman', 'Katherine Parkinson']","['In', 'the', 'aftermath', 'of', 'World', 'War', 'II,', 'a', 'writer', 'forms', 'an', 'unexpected', 'bond', 'with', 'the', 'residents', 'of', 'Guernsey', 'Island', 'when', 'she', 'decides', 'to', 'write', 'a', 'book', 'about', 'their', 'experiences', 'during', 'the', 'war.']",,"nazi occupied guernsey, german occupation, writer, world war two, nazi occupation, guernsey, book club, letter, island, friendship, year 1941, year 1946, german soldier, london england, gay best friend, pie, american, 1940s, post office, post world war two, publisher, based on novel, location in title, place in title, food in title, carriage ride, vomiting, island name in title, book, german abroad, reference to world war one, reference to world war two, roasted pig, pig pen, pig farmer, little girl, punched in the face, fiance fiancee relationship, marriage proposal, woman proposes marriage, engagement ring, literary agent, flashback, breaking off engagement, harbor, reading a book, reading aloud from a book, library, typewriter, flowers"
2594,One Hundred and One Dalmatians,1961,79,7.3,177247,83,144880000,"['Animation', ' Adventure', ' Comedy']",G,"['Clyde Geronimi', 'Hamilton Luske', 'Wolfgang Reitherman']","['Rod Taylor', 'Betty Lou Gerson', ""J. Pat O'Malley"", 'Martha Wentworth']","['When', 'a', 'litter', 'of', 'Dalmatian', 'puppies', 'are', 'abducted', 'by', 'the', 'minions', 'of', 'Cruella', 'De', 'Vil,', 'the', 'owners', 'must', 'find', 'them', 'before', 'she', 'uses', 'them', 'for', 'a', 'diabolical', 'fashion', 'statement.']",,"dalmatian, dog, puppy, rescue, dognapping, car crash, london england, england, talking animal, fireplace, cruella de vil character, pet, jazz, watching tv, 2d animation, traditional animation, hand drawn animation, 1960s, remade, united kingdom, male and female protagonists, pet dog, rotoscoping, jazz music, housekeeper, talking cow, green smoke, canine, truck, animated fictional tv commercial, burglary, watching a western on tv, cat, cow, goose, horse, animal mating, coat, litter, mansion, bark, songwriter, fashion, birth, wedding, fur, fur coat, barn, car wreck, abduction"
2595,Phantom of the Paradise,1974,91,7.3,21255,67,160000,"['Comedy', ' Drama', ' Fantasy']",PG,['Brian De Palma'],"['Paul Williams', 'William Finley', 'Jessica Harper', 'Gerrit Graham']","['A', 'disfigured', 'composer', 'sells', 'his', 'soul', 'for', 'the', 'woman', 'he', 'loves', 'so', 'that', 'she', 'will', 'perform', 'his', 'music.', 'However,', 'an', 'evil', 'record', 'tycoon', 'betrays', 'him', 'and', 'steals', 'his', 'music', 'to', 'open', 'his', 'rock', 'palace,', 'The', 'Paradise.']",,"cult favorite, rock opera, rock 'n' roll, masked man, rock star, deal with the devil, independent film, casting couch, drug abuse, reflection, reference to dorian gray, man wears eyeglasses, campy, composer, record tycoon, phantom, faust, eternal youth, contract, mask, soul selling, false accusation, disillusionment, sing sing prison new york, music production, vinyl, newspaper headline, heroin, abuse of power, moral corruption, songwriting, female singer, suicide attempt, record press, tape recorder, metal teeth, pianist, videotape, strangulation, prison, press conference, mirror, electrocution, record company, music producer, glove, brassiere, crossdressing, disfigured face, good versus evil"
2596,Snowden,2016,134,7.3,159346,58,21590000,"['Biography', ' Crime', ' Drama']",R,['Oliver Stone'],"['Joseph Gordon-Levitt', 'Shailene Woodley', 'Melissa Leo', 'Zachary Quinto']","['The', ""NSA's"", 'illegal', 'surveillance', 'techniques', 'are', 'leaked', 'to', 'the', 'public', 'by', 'one', 'of', 'the', ""agency's"", 'employees,', 'Edward', 'Snowden,', 'in', 'the', 'form', 'of', 'thousands', 'of', 'classified', 'documents', 'distributed', 'to', 'the', 'press.']",,"internet, mass surveillance, nsa, whistleblower, surveillance-state, journalism, based on true story, based on real person, cryptography, wikileaks, surveillance, presidential election, trust, sign language, epilepsy, hunting, tokyo japan, geneva switzerland, hotel room, hong kong, traitor, responsibility, treason, rubik's cube, teaching someone to pole dance, operations center, u.s. capitol building, edward snowden, fugitive from justice, fugitive, encrypted backup, u.s. national security agency, catastrophic site failure, seizure, tegretol, fisa court order, pheasant hunting, the guardian the newspaper, spy, romance subplot, xkeyscore, espionage act, sigaba code encryption machine, cia training center virginia, hawaii, nonlinear timeline, flashback, microwave oven, hotel, year 2007"
2597,The Hand of God,2021,130,7.3,47406,76,,['Drama'],R,['Paolo Sorrentino'],"['Filippo Scotti', 'Toni Servillo', 'Teresa Saponangelo', 'Marlon Joubert']","['In', '1980s', 'Naples,', 'young', 'Fabietto', 'pursues', 'his', 'love', 'for', 'football', 'as', 'family', 'tragedy', 'strikes,', 'shaping', 'his', 'uncertain', 'but', 'promising', 'future', 'as', 'a', 'filmmaker.']",,"china, priest, assumed identity, war lord, nurse, catholic mission, female jealousy, manipulation, mercenary, bogart and moorehead, stolen identity, pilot, missionary, hospital, forbidden love"
2598,Take Shelter,2011,120,7.3,105337,85,1730000,"['Drama', ' Horror', ' Sci-Fi']",R,['Jeff Nichols'],"['Michael Shannon', 'Jessica Chastain', 'Shea Whigham', 'Tova Stewart']","['Plagued', 'by', 'a', 'series', 'of', 'apocalyptic', 'visions,', 'a', 'young', 'husband', 'and', 'father', 'questions', 'whether', 'to', 'shelter', 'his', 'family', 'from', 'a', 'coming', 'storm,', 'or', 'from', 'himself.']",,"schizophrenia, ambiguous ending, psychological, storm, storm shelter, mysterious event, apocalyptic vision, imperative in title, deaf child, panic attack, underground shelter, bolt upright after nightmare, disaster, nervous breakdown, levitation, subjective camera, sleeplessness, worrying, employer employee relationship, premonition, paranoia, obsession, storm cellar, panic, thunder, small town, ohio, argument, fight, lightning, psychiatrist, sign language, deafness, deaf girl, nightmare, husband wife relationship, blue collar, firefly, beach house, woman wears a gas mask, child, looking at oneself in a mirror, downward spiral, seamstress, belgian tervuren dog, dog run, murmuration, mental illness in family, son visits mother, wife slaps husband"
2599,Pi,1998,84,7.3,184227,72,3220000,"['Drama', ' Horror', ' Mystery']",R,['Darren Aronofsky'],"['Sean Gullette', 'Mark Margolis', 'Ben Shenkman', 'Pamela Hart']","['A', 'paranoid', 'mathematician', 'searches', 'for', 'a', 'key', 'number', 'that', 'will', 'unlock', 'the', 'universal', 'patterns', 'found', 'in', 'nature.']",,"hawaii, private investigator, remake, former navy sea air and land force, car, vengeance, reboot, cop drama, timeframe 2010s, timeframe 21st century, oceania, police, character name in title"
2600,The Banker,2020,120,7.3,33048,59,,"['Biography', ' Drama']",PG-13,['George Nolfi'],"['Anthony Mackie', 'Samuel L. Jackson', 'Nicholas Hoult', 'Nia Long']","['In', 'the', '1960s,', 'two', 'African-American', 'entrepreneurs', 'hire', 'a', 'working-class', 'white', 'man', 'to', 'pretend', 'to', 'be', 'the', 'head', 'of', 'their', 'business', 'empire', 'while', 'they', 'pose', 'as', 'a', 'janitor', 'and', 'chauffeur.']",,"agitprop, release from prison, bank fraud, eavesdropping, wedding picture, apple tv, character says i'm sorry, reference to martin luther king jr., investor, laughing in a car, for sale sign, surveillance photo, graffiti vandalism, removing graffiti, reference to nikita khrushchev, reference to a silver spoon, interracial friendship, calling someone a son of a bitch, treasury agent, los angeles skyline, reference to joseph mccarthy, upward mobility, inspired by a true story, what happened to epilogue, willis texas, washington d.c., shoeshine boy, foot chase, family dinner, calling someone a genius, reference to abraham lincoln, going to california, jazz club, jazz club owner, calling someone a degenerate, calling someone an asshole, building owner, refurbishment, shaking hands, new house, los angeles california, clinking glasses, waitress, diner, golf course, golf lesson, cigarette smoking, laughing at someone, suit fitting, whiskey drinking"
2601,This Boy's Life,1993,115,7.3,56712,60,4100000,"['Biography', ' Drama']",R,['Michael Caton-Jones'],"['Robert De Niro', 'Leonardo DiCaprio', 'Ellen Barkin', 'Jonah Blechman']","['The', 'story', 'about', 'the', 'relationship', 'between', 'a', 'rebellious', '1950s', 'teenager', 'and', 'his', 'abusive', 'stepfather,', 'based', 'on', 'the', 'memoirs', 'of', 'writer', 'and', 'literature', 'Professor', 'Tobias', 'Wolff.']",,"1950s, husband wife relationship, mother son relationship, stepfather stepson relationship, voice over narration, based on memoir, rear entry sex, dysfunctional marriage, high school, juvenile delinquent, small town, coming of age, dysfunctional family, teenage boy, domestic violence, child abuse, marital abuse, based on true story, fistfight, cigarette smoking, physical abuse, fight, greaser, concrete washington, verbal abuse, rebellious teenager, apostrophe in title, child drives a car, salt lake city utah, what happened to epilogue, family dinner, gay teenager, seattle washington, abusive stepfather, friendship, single mother, gay friend, bus, slapped in the face, reckless driving, humiliation, shooting competition, adult hits a child, montage, wedding, year 1957, pacific northwest, teen angst, newspaper delivery boy, reference to elvis presley"
2602,Cinderella,1950,74,7.3,169612,85,85000000,"['Animation', ' Family', ' Fantasy']",G,"['Clyde Geronimi', 'Wilfred Jackson', 'Hamilton Luske']","['Ilene Woods', 'James MacDonald', 'Eleanor Audley', 'Verna Felton']","['When', ""Cinderella's"", 'cruel', 'stepmother', 'prevents', 'her', 'from', 'attending', 'the', 'Royal', 'Ball,', 'she', 'gets', 'some', 'unexpected', 'help', 'from', 'the', 'lovable', 'mice', 'Gus', 'and', 'Jaq', 'and', 'from', 'her', 'Fairy', 'Godmother.']",,"dance, remake, fairy tale, 17th century, prince, pumpkin, based on fairy tale, dress, king, love, servant, magic, princess, singing, party, widow, glass slipper, live action remake, female protagonist, transformation, royal ball, fairy godmother character, prince charming character, cinderella character, midnight, royalty, fairy, 19th century, france, mouse, death of mother, cat, bareback riding, lady tremaine character, ball, kingdom, race against time, younger version of character, sword, sword fight, fencing, horse, loss of father, falling in love, ensemble cast, dog, audio flashback, betrayal, disney live action remake of animated film, live action and animation"
2603,Patriots Day,2016,133,7.3,109691,69,31890000,"['Action', ' Crime', ' Drama']",R,['Peter Berg'],"['Mark Wahlberg', 'Michelle Monaghan', 'J.K. Simmons', 'John Goodman']","['The', 'story', 'of', 'the', '2013', 'Boston', 'Marathon', 'bombing', 'and', 'the', 'aftermath,', 'which', 'includes', 'the', 'city-wide', 'manhunt', 'to', 'find', 'the', 'terrorists', 'responsible.']",,"boston marathon bombing, police, boston marathon, terrorist, terrorism, based on true story, manhunt, bomb, boston massachusetts, hospital, gunfight, year 2013, fugitive, police dragnet, police officer shot, police officer shot in the head, death of husband, young widow, watching tv, cell phone, aerial camera shot, scene of the crime, cheering crowd, profanity, reference to barack obama, fbi federal bureau of investigation, female police officer, suburb, criminal investigation, timeframe 2010s, timeframe 21st century, police procedural crime, dismay, watching a cartoon on tv, eating cereal, reference to martin luther king, reference to ipod, patriotism, americana, true crime, terrorist attack in us, 19 year old boy, 26 year old man, playstation 3, playstation 3 controller, playing playstation 3, diet coke, powerade, bud light, dunkin' donuts"
2604,"Good Morning, Vietnam",1987,121,7.3,149545,67,123920000,"['Biography', ' Comedy', ' Drama']",R,['Barry Levinson'],"['Robin Williams', 'Forest Whitaker', 'Tom. T. Tran', 'Chintara Sukapatana']","['In', '1965,', 'an', 'unorthodox', 'and', 'irreverent', 'DJ', 'named', 'Adrian', 'Cronauer', 'begins', 'to', 'shake', 'up', 'things', 'when', 'he', 'is', 'assigned', 'to', 'the', 'U.S.', 'Armed', 'Services', 'radio', 'station', 'in', 'Vietnam.']",,"disc jockey, vietnam war, radio dj, vietnam, censorship, title spoken by character, u.s. armed services, radio, vietnamese, violence, comma in title, three word title, explosion, country in title, brother sister relationship, english teacher, bicycle, beer, identical twins, bar, teaching, backmasking spoof, profanity, f word, headphones, military uniform, clash of cultures, victor charlie, buddies, dragon lady, douglas dc 8, citroen c2, reference to walter brennan, reference to louis armstrong, reference to percy faith, radio broadcasting, radio personality, u.s. military, military, dark comedy, radio station, soldier, reference to the wizard of oz, year 1965, friendship, life, reference to princess margaret, reference to elizabeth taylor, humanism, punctuation in title"
2605,Abbott and Costello Meet Frankenstein,1948,83,7.3,18775,69,4800000,"['Comedy', ' Family', ' Fantasy']",Not Rated,"['Charles Barton', 'Walter Lantz']","['Bud Abbott', 'Lou Costello', 'Lon Chaney Jr.', 'Bela Lugosi']","['The', 'Wolf', 'Man', 'tries', 'to', 'warn', 'a', 'dimwitted', 'porter', 'that', 'Dracula', 'wants', 'his', 'brain', 'for', 'Frankenstein', ""monster's"", 'body.']",,"spoof, crate, full moon, transformation, werewolf, castle, coffin, abbott and costello, universal monsters, mind control, private island, screwball comedy, house of horrors, date with two women, insurance investigator, animated title sequence, universal classic monsters, two dates at the same time, frankenstein's monster character, supernatural power, dungeon, masquerade ball, vampire versus werewolf, vampire, wax museum, laboratory, character name in title, island, cellar, doctor, london england, werewolf bite, lycanthropy, gothic horror, man beast, bitten by a vampire, psychotronic film, monster movie, zombie, mad scientist, train, baggage clerk, shapeshifting, international phone call, eternal life, guillotine, kissing a stranger, searching thorugh someone's purse, cigarette smoking, satan costume"
2606,Grosse Pointe Blank,1997,107,7.3,98028,76,28010000,"['Action', ' Comedy', ' Crime']",R,['George Armitage'],"['John Cusack', 'Minnie Driver', 'Dan Aykroyd', 'Joan Cusack']","['Martin', 'Blank', 'is', 'a', 'professional', 'assassin.', 'He', 'is', 'sent', 'on', 'a', 'mission', 'to', 'a', 'small', 'Detroit', 'suburb,', 'Grosse', 'Pointe,', 'and,', 'by', 'coincidence,', 'his', 'ten-year', 'high', 'school', 'reunion', 'party', 'is', 'taking', 'place', 'there', 'at', 'the', 'same', 'time.']",,"long range rifle, range, time bomb, man wears eyeglasses, disney, cigarette, television, television set, fictional drug, return home, word play in title, satire comedy, grosse pointe michigan, michigan, dark comedy, assassin, reunion, high school reunion, high school, suburb, hitman, psychiatrist, secretary, radio, therapist, nsa, union, party, f word, laser gun, mixed martial arts, building explosion, biblical quote, retirement home, alzheimer's disease, wiretapping, nsa agent, old flame, warrior, one man army, place name in title, tough guy, knife, stabbed with a knife, kiss, female removes her clothes, kissing while having sex, ex boyfriend ex girlfriend relationship, gun fu, old friend"
2607,The Ice Storm,1997,112,7.3,58691,72,7840000,['Drama'],R,['Ang Lee'],"['Kevin Kline', 'Joan Allen', 'Sigourney Weaver', 'Henry Czerny']","['In', 'suburban', 'New', 'Canaan,', 'Connecticut,', '1973,', 'middle-class', 'families', 'experimenting', 'with', 'casual', 'sex', 'and', 'substance', 'abuse', 'find', 'their', 'lives', 'beyond', 'their', 'control.']",,"ice storm, virgin, swinging, wife swapping, sexual awakening, key party, dysfunctional family, adultery, sex in a car, french kiss, reference to fyodor dostoyevsky, sexual promiscuity, sex talk, dysfunctional marriage, promiscuity, extramarital affair, accidental death, electrocution, sexuality, marital crisis, death of son, three word title, reference to marvel comics, sarcasm, title same as book, man wears boxer shorts, lingerie, upper middle class, middle aged man, middle aged woman, prep school student, schoolmate schoolmate relationship, partner swapping, symbolism, housewife, timeframe 1970s, connecticut, unfaithful husband, hairy chested male, caught having sex, 14 year old girl, 16 year old male, winter storm, coming of age drama, nude painting, seconal, attempted sex, car keys, husband wife estrangement, electrical outage"
2608,Pale Rider,1985,115,7.3,62928,61,41410000,"['Drama', ' Western']",R,['Clint Eastwood'],"['Clint Eastwood', 'Michael Moriarty', 'Carrie Snodgress', 'Sydney Penny']","['A', 'mysterious', 'preacher', '(Clint', 'Eastwood)', 'protects', 'a', 'humble', 'prospector', 'village', 'from', 'a', 'greedy', 'mining', 'company', 'trying', 'to', 'encroach', 'on', 'their', 'land.']",,"gold prospector, corrupt marshal, mysterious stranger, 15 year old girl, back from the dead, presumed dead, courage, single mother, miner, small town, teenage girl, street shootout, gunfighter, one against many, one man army, stick fight, reluctant hero, gold mine, intimidation, shootout, greed, shot to death, dynamite, shot in the head, mother daughter relationship, tycoon, drifter, murder, death of father, preacher, gold, title based on the bible, biblical quote, directed by star, axe handle, hydraulic mining, deputy marshal, implied sex, beating, cabin, exploding cabin, unity, general store, prospector, sledgehammer, u.s. marshal, pistol duel, western town, action hero, quick draw"
2609,The Way,2010,123,7.3,34565,64,4430000,"['Comedy', ' Drama']",PG-13,['Emilio Estevez'],"['Martin Sheen', 'Emilio Estevez', 'Deborah Kara Unger', 'Yorick van Wageningen']","['A', 'father', 'heads', 'overseas', 'to', 'recover', 'the', 'body', 'of', 'his', 'estranged', 'son', 'who', 'died', 'while', 'traveling', 'the', '""El', 'camino', 'de', 'Santiago,""', 'and', 'decides', 'to', 'take', 'the', 'pilgrimage', 'himself.']",,"underwater, ocean, jungle, water, second part, sequel, science fantasy, forest, future, native, alien, planet, director also editor, alien race, tribe, fictional planet, pandora, epic sci fi, sea, bow and arrow, horn the musical instrument, alien creature, aquatic alien, family relationships, reef, motion capture, blue skin, underwater scene, 3d, 3 dimensional, blockbuster, space opera, spaceship, spacecraft, space station, zero gravity, hologram, torture, interrogation, colonel, colonialism, tree of life, supernatural power, teenage love, love at first sight, face paint, teenage daughter, teenage son, brother brother relationship, brother sister relationship"
2610,Amistad,1997,155,7.3,81185,63,44180000,"['Biography', ' Drama', ' History']",R,['Steven Spielberg'],"['Djimon Hounsou', 'Matthew McConaughey', 'Anthony Hopkins', 'Morgan Freeman']","['In', '1839,', 'the', 'revolt', 'of', 'Mende', 'captives', 'aboard', 'a', 'Spanish', 'owned', 'ship', 'causes', 'a', 'major', 'controversy', 'in', 'the', 'United', 'States', 'when', 'the', 'ship', 'is', 'captured', 'off', 'the', 'coast', 'of', 'Long', 'Island.', 'The', 'courts', 'must', 'decide', 'whether', 'the', 'Mende', 'are', 'slaves', 'or', 'legally', 'free.']",,"male full frontal nudity, ship, slave ship, escape from slavery, male pubic hair, male nudity, slave trade, based on true story, black penis, male frontal nudity, year 1839, martin van buren, isabella ii of spain, queen, queen regnant, year 1841, house of bourbon, period drama, pubic hair, dreamworks, reference to julius caesar, reference to roman emperor claudius, cigarette smoking, f word, spanking, flatulence, 1830s, african american slavery, mutiny, abolitionist, courtroom, africa, supreme court, freedom, slavery, pre american civil war, president, united states supreme court decision, boston massachusetts, judicial system, one word title, escape, torture, declaration of independence, sadism, visual metaphor, symbolism, escalation, interpreter, language problem"
2611,From Russia with Love,1963,115,7.3,141547,83,24800000,"['Action', ' Adventure', ' Thriller']",PG,['Terence Young'],"['Sean Connery', 'Robert Shaw', 'Lotte Lenya', 'Daniela Bianchi']","['James', 'Bond', 'willingly', 'falls', 'into', 'an', 'assassination', 'plot', 'involving', 'a', 'naive', 'Russian', 'beauty', 'in', 'order', 'to', 'retrieve', 'a', 'Soviet', 'encryption', 'device', 'that', 'was', 'stolen', 'by', 'S.P.E.C.T.R.E.']",,"bond girl, catfight, british secret service, official bond film, james bond character, blofeld's cat, 007, male protagonist, train platform, wagon, 1960s, male hero, gunshot, firearm, spy action, female nudity, decoder, spy, film camera, action hero, belly dancing, disguise, double cross, shot in the arm, spy hero, sequel mentioned during end credits, venice italy, fake marriage, belly dance, official james bond series, premarital sex, mauser c96 pistol, mauser pistol, mauser, raki, series, vodka martini, m character, spank, four word title, place name in title, location in title, city, apology, saying thank you, man wears a tuxedo, aircraft, weapon, rotorcraft, training"
2612,Shaolin Soccer,2001,87,7.3,85678,68,490000,"['Action', ' Comedy', ' Fantasy']",PG,['Stephen Chow'],"['Stephen Chow', 'Wei Zhao', 'Yat-Fei Wong', 'Man-Tat Ng']","['A', 'young', 'Shaolin', 'follower', 'reunites', 'with', 'his', 'discouraged', 'brothers', 'to', 'form', 'a', 'soccer', 'team', 'using', 'their', 'martial', 'art', 'skills', 'to', 'their', 'advantage.']",,"soccer, football, disney, paramount, soccer sport, martial arts action"
2613,Lady and the Tramp,1955,76,7.3,144091,78,93600000,"['Animation', ' Adventure', ' Comedy']",G,"['Clyde Geronimi', 'Wilfred Jackson', 'Hamilton Luske', 'Jack Cutting']","['Barbara Luddy', 'Larry Roberts', 'Peggy Lee', 'Bill Thompson']","['The', 'romantic', 'tale', 'of', 'a', 'sheltered', 'uptown', 'Cocker', 'Spaniel', 'dog', 'and', 'a', 'streetwise', 'downtown', 'Mutt.']",,"dog, aunt, baby, cat, siamese cat, racial stereotype, rescue, wrong side of the tracks, terrier, dogcatcher, womanizer, female protagonist, christmas, cocker spaniel, falling in love, spaghetti, chicken, blockbuster, little boy, spaghetti kiss, title based on song, sacrifice, femme fatale, rat, presumed dead, train, dog attack, snow, zoo, love, gift, pet store, scot, animal escapes pound, dog movie, beaver, singing cat, four word title, friendship, italian american, thunderstorm, bloodhound, bulldog, snowstorm, kiss, doctor, blizzard, childbirth, pet as gift, dog as gift"
2614,The Hidden Face,2011,97,7.3,45167,,,"['Drama', ' Horror', ' Mystery']",R,['Andrés Baiz'],"['Quim Gutiérrez', 'Martina García', 'María Soledad Rodríguez', 'Jose Luis Garcia']","['Shattered', 'by', 'the', 'unexpected', 'news', 'of', 'their', 'irreversible', 'break-up,', 'an', 'aspiring', 'orchestra', 'conductor', 'is', 'puzzled', 'by', 'his', ""girlfriend's"", 'mysterious', 'and', 'seemingly', 'inexplicable', 'case', 'of', 'disappearance.', 'But', 'can', 'he', 'look', 'beyond', 'the', 'facts?']",,"disappearance, missing girl, missing girlfriend, cheating boyfriend, female frontal nudity, female full frontal nudity, female nudity, love triangle, nonlinear timeline, orchestra conductor, one way mirror, prank gone wrong, secretly observing, waitress, watching someone having sex, caught having sex, taking a bath, screaming woman, repeated scene, crying female, scene told from more than one perspective, story told from different perspectives, scene repeated from alternative perspective, repeated scene from a different perspective, multiple perspectives, multiple points of view, caught cheating, secret room, hitchcockian, sexual desire, sexual attraction, scantily clad female, trapped in a room, locked in a room, test of love, sex scene, female pubic hair, female rear nudity, undressing someone, nudity, voyeurism, voyeur, sex in bed, panties, pubic hair, undressing a woman, woman wrapped in a towel, couple in a shower, two in a shower, taking a shower"
2615,Jesus Christ Superstar,1973,106,7.3,28770,64,24480000,"['Drama', ' History', ' Musical']",G,['Norman Jewison'],"['Ted Neeley', 'Carl Anderson', 'Yvonne Elliman', 'Barry Dennen']","['Film', 'version', 'of', 'the', 'musical', 'stage', 'play,', 'presenting', 'the', 'last', 'few', 'weeks', 'of', ""Christ's"", 'life', 'told', 'in', 'an', 'anachronistic', 'manner.']",,"mary magdalene character, apostle john character, jesus christ character, high priest caiaphas character, pontius pilate character, judas iscariot character, james the greater character, controversy, no music during end credits, jesus in title, slow motion scene, classic musical, sword and sandal history, epic history, based on broadway musical, rock opera, palestinian, palestine, crucifixion of jesus, based on the bible, ancient rome, song, singing, singer, based on stage musical, anachronism, reference to the buddha, whipping, surrealism, christian, christianity, hedonist, suicide, roman, betrayal, kicked in the butt, scene based on painting, freeze frame, 1st century, rock musical, religion, based on album, passion play, character name in title"
